ticker,opportunity_type,action,confidence,expected_apr,option_strategy,option_type,expiration,strike,position_size_pct,notes,RecommendationDate,ProjectVersion,ConfigVersion,premium,position_value,max_risk_dollars,contracts,profit_target_pct,stop_loss_pct,time_stop_dte,RecommendationID,TradeStatus,EntryPrice,ExitPrice,ExitDate,ExitReason,PnL,PnLPct,SPYReturnPct,AlphaVsSPY,OutcomeReviewed,CurrentUnderlyingPrice,CurrentDTE,LastReviewedDate,EntryUnderlyingPrice,trade_quality_score,trade_quality_grade
MMM,Long Put Candidate,Evaluate Options,85,,,,,,,"['Research Score: 95', 'Trend: 33', 'Momentum: 28', 'Above 20-day SMA; Above 50-day SMA; Above 200-day SMA; Healthy distance above 20-day SMA; Healthy distance above 50-day SMA; MACD bullish; RSI in ideal bullish range; Acceptable liquidity; Above 20 SMA; Above 50 SMA; Above 200 SMA; Long-term trend positive; Momentum positive', 'No suitable option contract found']",2026-06-30 20:10:20.464286,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS,Watchlist,Watch,56,,,,,,,"['Research Score: 56', 'Trend: 20', 'Momentum: 19', 'Above 20-day SMA; Above 50-day SMA; Healthy distance above 50-day SMA; MACD bullish; RSI bullish but warming up; Acceptable liquidity; Above 20 SMA; Above 50 SMA; Momentum positive']",2026-06-30 20:10:20.470703,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT,Watchlist,Watch,63,,,,,,,"['Research Score: 63', 'Trend: 20', 'Momentum: 26', 'Above 20-day SMA; Above 50-day SMA; Healthy distance above 20-day SMA; Healthy distance above 50-day SMA; MACD bullish; RSI in ideal bullish range; High liquidity; Above 20 SMA; Above 50 SMA; Momentum positive']",2026-06-30 20:10:20.489580,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,Long Put Candidate,Evaluate Options,85,,,,,,,"['Research Score: 80', 'Trend: 33', 'Momentum: 13', 'Above 20-day SMA; Above 50-day SMA; Above 200-day SMA; Extended above 20-day SMA; Extended above 50-day SMA; MACD bullish; RSI not favorable for bullish momentum; High liquidity; Above 20 SMA; Above 50 SMA; Above 200 SMA; Long-term trend positive; Momentum positive', 'No suitable option contract found']",2026-06-30 20:10:20.780594,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,Watchlist,Watch,65,,,,,,,"['Research Score: 65', 'Trend: 33', 'Momentum: 15', 'Above 20-day SMA; Above 50-day SMA; Above 200-day SMA; Extended above 20-day SMA; Extended above 50-day SMA; RSI bullish but warming up; High liquidity; Above 20 SMA; Above 50 SMA; Above 200 SMA; Long-term trend positive']",2026-06-30 20:10:20.798127,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,Watchlist,Watch,62,,,,,,,"['Research Score: 62', 'Trend: 25', 'Momentum: 21', 'Above 50-day SMA; Above 200-day SMA; Healthy distance above 50-day SMA; RSI in ideal bullish range; High liquidity; Above 50 SMA; Above 200 SMA; Long-term trend positive']",2026-06-30 20:10:20.813583,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,Long Put Candidate,Evaluate Options,85,,,,,,,"['Research Score: 95', 'Trend: 33', 'Momentum: 28', 'Above 20-day SMA; Above 50-day SMA; Above 200-day SMA; Healthy distance above 20-day SMA; Healthy distance above 50-day SMA; MACD bullish; RSI in ideal bullish range; Acceptable liquidity; Above 20 SMA; Above 50 SMA; Above 200 SMA; Long-term trend positive; Momentum positive', 'No suitable option contract found']",2026-06-30 20:10:21.263923,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Long Put Candidate,Evaluate Options,85,,,,,,,"['Research Score: 75', 'Trend: 33', 'Momentum: 25', 'Above 20-day SMA; Above 50-day SMA; Above 200-day SMA; Healthy distance above 20-day SMA; Healthy distance above 50-day SMA; RSI in ideal bullish range; Acceptable liquidity; Above 20 SMA; Above 50 SMA; Above 200 SMA; Long-term trend positive', 'No suitable option contract found']",2026-06-30 20:10:21.738061,,,,,,,,,,,,,,,,,,,,,,,,,,
APD,Long Put Candidate,Evaluate Options,85,,,,,,,"['Research Score: 95', 'Trend: 33', 'Momentum: 28', 'Above 20-day SMA; Above 50-day SMA; Above 200-day SMA; Healthy distance above 20-day SMA; Healthy distance above 50-day SMA; MACD bullish; RSI in ideal bullish range; Acceptable liquidity; Above 20 SMA; Above 50 SMA; Above 200 SMA; Long-term trend positive; Momentum positive', 'No suitable option contract found']",2026-06-30 20:10:22.046913,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNB,Long Put Candidate,Evaluate Options,85,,,,,,,"['Research Score: 95', 'Trend: 33', 'Momentum: 28', 'Above 20-day SMA; Above 50-day SMA; Above 200-day SMA; Healthy distance above 20-day SMA; Healthy distance above 50-day SMA; MACD bullish; RSI in ideal bullish range; Acceptable liquidity; Above 20 SMA; Above 50 SMA; Above 200 SMA; Long-term trend positive; Momentum positive', 'No suitable option contract found']",2026-06-30 20:10:22.327372,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,Watchlist,Watch,61,,,,,,,"['Research Score: 61', 'Trend: 20', 'Momentum: 24', 'Above 20-day SMA; Above 50-day SMA; Healthy distance above 20-day SMA; Healthy distance above 50-day SMA; MACD bullish; RSI in ideal bullish range; Acceptable liquidity; Above 20 SMA; Above 50 SMA; Momentum positive']",2026-06-30 20:10:22.353297,,,,,,,,,,,,,,,,,,,,,,,,,,
